carat,cut,color,clarity,depth,table,price,x,y,z
1.02,Ideal,D,SI1,62.3,56.0,6845.8,6.49,6.45,4.03
1.21,Very Good,J,VS1,60.9,60.0,6847.1,6.87,6.9,4.19
1.09,Ideal,D,SI2,61.3,57.0,6847.1,6.64,6.67,4.08
1.1,Premium,H,SI1,62.0,58.0,6847.1,6.68,6.6,4.12
1.2,Premium,E,SI2,58.2,59.0,6848.400000000001,6.98,6.9,4.04
1.5,Fair,J,SI2,65.5,60.0,6848.400000000001,7.07,7.03,4.62
1.2,Ideal,E,SI2,61.3,56.0,6848.400000000001,6.8,6.71,4.14
1.5,Premium,J,SI2,62.6,56.0,6848.400000000001,7.24,7.11,4.51
1.3,Good,J,VS2,63.6,59.0,6849.7,6.9,6.87,4.38
1.23,Premium,I,SI2,62.4,58.0,6849.7,6.86,6.82,4.27
1.23,Ideal,I,SI2,62.1,56.0,6849.7,6.88,6.84,4.26
1.23,Premium,I,SI2,62.5,60.0,6849.7,6.82,6.75,4.24
1.15,Very Good,H,SI1,62.4,57.0,6851.0,6.68,6.71,4.18
1.01,Good,D,SI1,58.5,64.0,6852.3,6.4,6.45,3.76
0.95,Good,E,VS2,57.7,58.0,6853.6,6.47,6.52,3.75
1.1,Ideal,I,VS2,61.8,55.4,6854.900000000001,6.62,6.65,4.1
1.34,Ideal,J,SI2,62.5,57.0,6854.900000000001,7.0,7.08,4.4
1.14,Premium,G,SI1,63.0,59.0,6854.900000000001,6.68,6.62,4.19
1.01,Premium,G,SI1,62.9,61.0,6854.900000000001,6.35,6.33,3.99
1.01,Ideal,G,SI1,61.6,57.0,6854.900000000001,6.4,6.32,3.92
1.01,Ideal,F,SI1,60.0,56.0,6856.2,6.55,6.49,3.91
1.21,Ideal,J,VS2,62.6,54.2,6857.5,6.79,6.81,4.26
1.21,Premium,I,SI1,61.8,59.0,6858.8,6.85,6.81,4.22
1.06,Ideal,H,VS2,61.2,55.0,6860.1,6.57,6.61,4.03
1.12,Ideal,F,SI2,61.8,56.0,6860.1,6.65,6.68,4.12
1.01,Good,G,SI1,59.8,61.0,6860.1,6.45,6.49,3.87
1.69,Premium,J,I1,60.2,61.0,6860.1,7.79,7.7,4.66
1.24,Premium,H,SI2,60.4,59.0,6860.1,6.99,6.92,4.2
1.52,Ideal,H,SI2,59.9,55.0,6860.1,7.54,7.45,4.49
1.02,Ideal,E,SI1,60.4,55.0,6861.400000000001,6.54,6.48,3.93
1.06,Ideal,H,SI1,63.0,55.0,6861.400000000001,6.49,6.44,4.08
1.1,Ideal,H,SI1,61.6,57.0,6861.400000000001,6.63,6.61,4.08
1.02,Premium,E,SI1,61.5,58.0,6861.400000000001,6.51,6.46,3.99
1.02,Very Good,E,SI1,63.2,61.0,6861.400000000001,6.37,6.31,4.01
1.2,Premium,G,SI2,59.2,60.0,6861.400000000001,6.92,6.9,4.09
1.02,Premium,E,SI1,62.6,58.0,6861.400000000001,6.47,6.44,4.05
1.01,Good,G,VS2,63.8,57.0,6862.7,6.27,6.34,4.02
1.01,Premium,E,SI1,61.8,60.0,6862.7,6.36,6.4,3.94
0.9,Very Good,F,VS1,62.5,58.0,6862.7,6.12,6.17,3.84
1.2,Good,I,SI1,63.5,60.7,6864.0,6.71,6.75,4.27
1.13,Premium,D,SI2,62.0,58.0,6864.0,6.64,6.68,4.13
1.13,Very Good,G,SI1,60.9,60.0,6864.0,6.67,6.76,4.09
1.2,Very Good,H,SI2,62.1,59.0,6864.0,6.75,6.8,4.21
1.2,Premium,H,SI2,62.5,58.0,6864.0,6.76,6.81,4.24
1.2,Very Good,H,SI2,62.0,58.0,6864.0,6.76,6.91,4.24
1.2,Premium,H,SI2,62.3,58.0,6864.0,6.76,6.81,4.23
1.2,Very Good,I,SI1,62.6,58.2,6864.0,6.71,6.74,4.21
1.07,Ideal,E,SI2,62.4,60.0,6864.0,6.49,6.52,4.06
1.07,Ideal,J,SI1,61.5,55.0,6865.3,6.58,6.62,4.06
1.07,Ideal,H,SI1,61.0,56.0,6865.3,6.6,6.68,4.05
1.11,Premium,G,SI1,60.1,60.0,6865.3,6.73,6.68,4.03
1.31,Premium,I,SI1,62.0,58.0,6866.6,7.01,6.98,4.34
1.23,Premium,D,SI2,58.9,58.0,6867.900000000001,6.99,6.97,4.11
1.04,Premium,F,SI1,59.8,59.0,6869.2,6.61,6.56,3.94
1.37,Premium,J,SI2,61.9,59.0,6869.2,7.1,7.05,4.38
1.11,Premium,F,SI2,62.2,57.0,6869.2,6.67,6.61,4.13
1.04,Good,E,SI1,63.5,56.0,6870.5,6.37,6.41,4.06
1.04,Very Good,H,SI1,62.0,58.0,6870.5,6.42,6.48,4.0
1.27,Ideal,J,VS2,61.8,54.0,6870.5,6.95,6.98,4.31
1.21,Premium,H,SI2,60.0,60.0,6870.5,6.96,6.91,4.16
1.21,Premium,I,SI1,62.0,56.0,6870.5,6.89,6.83,4.25
1.0,Premium,D,SI2,60.9,59.0,6871.8,6.46,6.41,3.92
1.08,Very Good,H,SI1,63.4,57.0,6871.8,6.54,6.51,4.14
1.09,Premium,F,SI1,60.9,59.0,6873.1,6.59,6.64,4.03
1.09,Premium,F,SI1,62.7,58.0,6873.1,6.51,6.56,4.1
1.02,Very Good,F,SI1,60.9,57.0,6873.1,6.52,6.56,3.98
1.0,Very Good,H,SI1,60.9,58.0,6873.1,6.43,6.46,3.93
0.99,Ideal,H,SI1,61.1,56.0,6873.1,6.44,6.47,3.94
0.75,Ideal,F,VVS1,60.6,57.0,6874.400000000001,5.88,5.94,3.59
1.33,Premium,F,SI2,60.7,62.0,6874.400000000001,7.12,7.07,4.31
1.01,Premium,G,VS2,60.9,55.0,6874.400000000001,6.5,6.48,3.95
1.01,Premium,F,SI1,62.9,59.0,6874.400000000001,6.38,6.31,3.99
1.23,Good,J,VS2,63.6,57.0,6877.0,6.74,6.79,4.3
1.21,Good,I,VS2,63.4,57.0,6877.0,6.72,6.79,4.28
1.21,Very Good,F,SI2,61.5,61.0,6877.0,6.77,6.82,4.18
1.21,Very Good,F,SI2,62.7,57.0,6877.0,6.74,6.81,4.25
1.04,Very Good,F,SI1,60.1,62.0,6877.0,6.54,6.6,3.95
1.28,Premium,J,SI1,61.9,56.0,6877.0,7.13,7.0,4.37
1.02,Very Good,G,SI1,61.3,56.0,6878.3,6.43,6.53,3.97
1.14,Premium,I,VS1,62.3,59.0,6878.3,6.69,6.64,4.15
1.12,Ideal,H,SI1,62.3,56.0,6878.3,6.7,6.65,4.16
1.12,Premium,H,SI1,62.0,56.0,6878.3,6.68,6.61,4.12
1.12,Premium,H,SI1,61.9,59.0,6878.3,6.66,6.52,4.08
1.1,Ideal,I,VS1,60.8,58.0,6878.3,6.68,6.63,4.04
1.5,Fair,H,I1,68.9,56.0,6879.6,7.0,6.9,4.79
1.0,Premium,F,SI1,58.6,58.0,6879.6,6.56,6.52,3.83
1.0,Premium,G,SI1,62.2,58.0,6879.6,6.45,6.37,3.99
1.0,Premium,G,SI1,62.7,59.0,6879.6,6.36,6.31,3.97
1.0,Premium,F,SI1,60.5,56.0,6879.6,6.48,6.45,3.91
1.04,Premium,D,SI2,62.4,56.0,6879.6,6.5,6.45,4.04
1.0,Fair,F,SI1,64.8,59.0,6879.6,6.29,6.24,4.06
1.05,Very Good,H,VS2,63.2,58.0,6879.6,6.46,6.39,4.06
1.25,Ideal,I,SI2,63.3,56.0,6879.6,6.87,6.83,4.34
1.26,Premium,I,SI1,60.5,62.0,6879.6,6.97,6.92,4.2
1.0,Premium,F,SI1,62.6,60.0,6879.6,6.32,6.3,3.95
1.0,Ideal,F,SI1,62.0,57.0,6879.6,6.43,6.37,3.97
1.0,Premium,F,SI1,61.6,60.0,6879.6,6.41,6.31,3.9
1.0,Premium,F,SI1,62.3,59.0,6879.6,6.43,6.37,3.99
1.0,Premium,F,SI1,60.3,58.0,6879.6,6.47,6.43,3.89
1.0,Premium,F,SI1,61.6,61.0,6879.6,6.37,6.3,3.9
1.0,Premium,F,SI1,60.7,60.0,6879.6,6.4,6.36,3.87
1.0,Premium,F,SI1,62.7,59.0,6879.6,6.4,6.36,4.0
1.0,Premium,F,SI1,61.2,58.0,6879.6,6.44,6.4,3.93
1.0,Ideal,F,SI1,61.9,56.0,6879.6,6.41,6.36,3.95
1.06,Very Good,I,VS1,58.5,58.3,6880.900000000001,6.66,6.79,3.94
1.25,Premium,I,SI1,59.7,59.0,6880.900000000001,6.97,7.03,4.18
1.06,Very Good,D,SI2,60.1,58.0,6880.900000000001,6.6,6.64,3.98
1.06,Good,I,VS1,57.5,62.0,6880.900000000001,6.71,6.83,3.9
1.01,Premium,H,VS1,61.2,61.0,6882.2,6.44,6.41,3.93
1.01,Very Good,G,VS2,63.1,55.0,6882.2,6.38,6.36,4.02
1.01,Premium,H,VS1,61.2,61.0,6882.2,6.44,6.41,3.93
1.01,Fair,G,VS2,68.9,60.0,6882.2,6.06,6.02,4.17
1.01,Ideal,G,VS1,61.3,56.0,6882.2,6.49,6.44,3.96
1.01,Premium,H,VS1,62.7,58.0,6882.2,6.39,6.37,4.0
1.01,Very Good,G,VS1,63.1,59.0,6882.2,6.32,6.23,3.96
1.15,Ideal,H,SI1,61.9,55.0,6884.8,6.74,6.77,4.18
1.22,Ideal,G,SI2,62.3,57.0,6884.8,6.85,6.8,4.25
1.22,Ideal,J,VS2,62.1,58.0,6886.1,6.82,6.84,4.24
1.0,Ideal,E,SI1,62.3,55.0,6888.7,6.34,6.41,3.97
1.0,Good,E,SI1,63.2,57.0,6888.7,6.36,6.39,4.03
1.0,Premium,E,SI1,60.5,59.0,6888.7,6.4,6.45,3.89
1.11,Ideal,G,SI2,61.7,57.0,6888.7,6.65,6.69,4.12
1.25,Premium,J,VS2,62.2,59.0,6888.7,6.86,6.88,4.27
1.04,Premium,F,SI1,62.2,60.0,6890.0,6.48,6.44,4.02
1.02,Premium,F,SI1,62.3,58.0,6891.3,6.38,6.46,4.0
1.02,Good,F,SI1,63.2,59.0,6891.3,6.35,6.38,4.02
1.02,Very Good,F,SI1,62.8,55.0,6891.3,6.4,6.43,4.03
1.26,Ideal,J,SI1,62.0,56.0,6891.3,6.9,6.93,4.29
1.01,Premium,E,SI1,59.5,60.0,6891.3,6.54,6.46,3.87
1.16,Ideal,G,SI2,61.5,54.0,6891.3,6.78,6.75,4.16
1.07,Ideal,I,VS1,62.0,57.0,6892.6,6.56,6.5,4.05
1.02,Very Good,I,VS1,62.2,60.0,6892.6,6.4,6.43,3.99
0.91,Very Good,F,VS1,62.4,59.0,6892.6,6.15,6.16,3.84
1.16,Ideal,I,VS2,61.5,57.0,6892.6,6.78,6.75,4.16
1.01,Premium,H,VS2,61.5,59.0,6893.900000000001,6.48,6.49,3.99
1.07,Ideal,G,SI1,62.2,57.0,6893.900000000001,6.59,6.56,4.09
1.07,Very Good,E,SI2,61.7,58.0,6895.2,6.54,6.56,4.04
1.23,Premium,J,VS1,60.1,60.0,6895.2,6.95,6.9,4.16
1.01,Very Good,H,VS1,64.0,54.0,6896.5,6.3,6.38,4.06
0.9,Very Good,E,VS2,62.5,58.0,6896.5,6.14,6.18,3.85
1.09,Very Good,G,SI1,60.2,60.0,6896.5,6.66,6.7,4.02
1.01,Premium,D,SI1,58.3,58.0,6896.5,6.65,6.59,3.86
1.24,Premium,H,VS2,62.8,57.0,6896.5,6.83,6.79,4.28
1.09,Premium,I,VS2,60.1,59.0,6897.8,6.74,6.67,4.03
1.01,Ideal,H,VS2,62.7,57.0,6897.8,6.41,6.39,4.01
1.15,Ideal,H,SI2,62.5,58.0,6897.8,6.65,6.69,4.17
1.09,Ideal,F,SI2,62.0,56.0,6897.8,6.62,6.58,4.09
1.26,Ideal,J,VS2,63.2,57.0,6897.8,6.86,6.81,4.32
1.27,Ideal,F,SI2,62.0,55.0,6900.400000000001,6.9,6.95,4.3
1.21,Very Good,G,SI2,62.7,59.0,6900.400000000001,6.66,6.74,4.2
1.01,Good,F,SI1,63.9,59.0,6901.7,6.29,6.32,4.03
1.2,Good,G,SI2,62.1,60.0,6903.0,6.72,6.78,4.19
1.66,Premium,I,SI2,60.0,59.0,6903.0,7.63,7.56,4.56
1.36,Premium,J,SI2,62.6,58.0,6903.0,7.12,7.0,4.42
1.04,Premium,H,SI1,60.7,62.0,6904.3,6.57,6.51,3.97
1.01,Premium,E,SI1,62.0,61.0,6904.3,6.42,6.38,3.97
0.28,Ideal,E,VS1,62.0,57.0,777.4,4.17,4.2,2.59
0.26,Very Good,E,VVS2,61.7,60.0,778.7,4.11,4.12,2.54
0.38,Very Good,G,SI1,57.5,60.0,778.7,4.83,4.88,2.79
0.4,Ideal,J,VS2,62.6,57.0,778.7,4.68,4.71,2.94
0.4,Ideal,J,VS2,62.2,54.0,778.7,4.75,4.8,2.97
0.27,Ideal,H,VS2,61.8,56.0,778.7,4.15,4.17,2.57
0.36,Ideal,H,VS2,62.0,55.0,778.7,4.58,4.63,2.86
0.38,Ideal,D,SI2,62.0,53.0,778.7,4.68,4.71,2.91
0.3,Fair,F,SI1,64.6,56.0,778.7,4.27,4.25,2.75
0.26,Ideal,E,VVS2,62.2,56.0,778.7,4.12,4.15,2.57
0.26,Good,E,VVS2,63.1,59.0,778.7,4.04,4.08,2.56
0.26,Ideal,F,VVS2,62.5,56.0,778.7,4.1,4.12,2.57
0.26,Very Good,E,VVS1,62.9,58.0,778.7,4.06,4.08,2.56
0.26,Ideal,E,VVS1,62.0,56.0,778.7,4.09,4.13,2.55
0.26,Ideal,E,VVS1,61.7,57.0,778.7,4.07,4.1,2.52
0.26,Premium,E,VVS1,61.7,59.0,778.7,4.1,4.14,2.54
0.26,Premium,E,VVS1,62.3,60.0,778.7,4.07,4.09,2.54
0.26,Ideal,F,VVS1,61.6,57.0,778.7,4.08,4.1,2.52
0.26,Premium,E,VVS1,61.8,58.0,778.7,4.11,4.14,2.55
0.26,Ideal,F,VVS1,62.4,56.0,778.7,4.1,4.11,2.56
0.26,Ideal,D,VVS2,62.5,56.0,778.7,4.08,4.11,2.56
0.26,Ideal,D,VVS2,61.4,56.0,778.7,4.12,4.15,2.54
0.26,Ideal,E,VVS2,61.5,56.0,778.7,4.08,4.11,2.52
0.26,Ideal,E,VVS2,62.3,57.0,778.7,4.06,4.09,2.54
0.26,Ideal,E,VVS2,62.0,56.0,778.7,4.1,4.13,2.55
0.26,Ideal,F,VVS2,61.6,57.0,778.7,4.08,4.1,2.52
0.4,Good,D,SI2,64.0,56.0,778.7,4.64,4.7,2.99
0.32,Ideal,E,VS2,61.8,54.0,778.7,4.4,4.43,2.73
0.32,Ideal,E,VS2,61.4,56.0,778.7,4.41,4.45,2.72
0.29,Very Good,D,VVS2,59.1,61.0,780.0,4.33,4.37,2.57
1.24,Premium,D,SI2,61.0,59.0,6904.3,6.93,6.97,4.24
1.04,Ideal,G,SI1,61.9,56.0,6904.3,6.46,6.5,4.01
1.02,Premium,H,VS2,61.2,58.0,6905.6,6.5,6.47,3.97
1.02,Premium,H,VS2,62.5,56.0,6905.6,6.45,6.42,4.02
0.9,Premium,E,VS2,62.6,60.0,6905.6,6.15,6.08,3.83
0.9,Premium,E,VS2,59.5,58.0,6905.6,6.33,6.28,3.75
1.02,Ideal,H,VS2,61.2,56.0,6905.6,6.53,6.48,3.98
1.02,Premium,H,VS2,62.5,60.0,6905.6,6.43,6.38,4.0
1.5,Good,F,I1,60.6,62.0,6906.900000000001,7.22,7.24,4.38
1.03,Very Good,D,SI1,60.5,61.0,6906.900000000001,6.43,6.47,3.9
1.07,Ideal,F,SI2,61.4,56.0,6906.900000000001,6.57,6.63,4.05
1.16,Good,H,SI1,64.2,58.6,6908.2,6.61,6.66,4.26
1.23,Ideal,I,SI2,61.2,58.0,6909.5,6.86,6.9,4.21
1.18,Good,D,SI2,61.7,63.0,6909.5,6.67,6.72,4.13
1.11,Premium,H,SI1,62.8,61.0,6909.5,6.63,6.56,4.14
1.11,Premium,H,SI1,61.5,59.0,6909.5,6.69,6.64,4.1
1.11,Ideal,H,SI1,61.0,56.0,6909.5,6.74,6.7,4.1
1.11,Ideal,H,SI1,60.2,54.0,6909.5,6.82,6.7,4.07
1.13,Premium,I,VS1,62.2,58.0,6910.8,6.68,6.63,4.14
1.13,Premium,I,VS1,61.7,54.0,6910.8,6.74,6.71,4.15
1.13,Premium,E,SI2,60.4,59.0,6910.8,6.75,6.7,4.06
1.01,Ideal,H,VS2,60.6,57.0,6912.1,6.54,6.49,3.95
0.91,Good,F,VVS2,64.0,61.0,6912.1,6.06,6.13,3.9
1.19,Ideal,H,SI1,62.3,55.0,6913.400000000001,6.84,6.8,4.25
1.2,Ideal,J,VS2,61.8,55.0,6913.400000000001,6.84,6.86,4.23
1.33,Premium,G,SI2,59.2,62.0,6913.400000000001,7.22,7.16,4.26
1.28,Good,I,VS2,58.2,64.0,6914.7,7.09,7.03,4.11
1.06,Ideal,E,SI2,62.2,55.0,6914.7,6.54,6.51,4.06
1.25,Premium,H,SI1,59.4,62.0,6916.0,7.07,7.0,4.18
1.1,Very Good,D,SI2,61.1,58.0,6916.0,6.61,6.69,4.06
1.0,Very Good,D,SI1,63.2,59.0,6916.0,6.29,6.4,4.01
1.0,Premium,H,VS2,62.6,59.0,6916.0,6.37,6.31,3.97
1.2,Very Good,G,SI2,62.9,54.0,6917.3,6.76,6.79,4.26
1.22,Ideal,H,SI2,62.3,55.3,6917.3,6.8,6.87,4.26
1.04,Ideal,F,SI1,61.3,55.0,6917.3,6.51,6.53,4.0
1.0,Premium,E,SI1,59.7,57.0,6918.6,6.56,6.48,3.89
1.0,Very Good,E,SI1,59.4,63.0,6918.6,6.47,6.42,3.83
1.2,Very Good,I,VS1,63.1,58.0,6918.6,6.7,6.62,4.2
1.0,Premium,G,VS2,60.8,60.0,6918.6,6.39,6.33,3.87
1.05,Premium,H,VS2,61.1,58.0,6919.900000000001,6.57,6.53,4.0
1.21,Premium,H,SI2,62.7,59.0,6921.2,6.75,6.78,4.24
1.21,Very Good,H,SI2,62.6,61.0,6921.2,6.7,6.75,4.21
1.21,Very Good,I,SI1,62.1,56.0,6921.2,6.76,6.92,4.25
1.21,Ideal,J,VS1,62.3,55.0,6921.2,6.81,6.86,4.26
0.9,Very Good,F,VS1,61.2,56.0,6921.2,6.18,6.23,3.8
1.07,Ideal,E,SI2,62.2,55.0,6922.5,6.54,6.58,4.08
1.11,Ideal,H,SI1,60.6,59.0,6922.5,6.75,6.71,4.08
1.14,Premium,G,SI1,62.2,58.0,6923.8,6.64,6.7,4.15
1.07,Premium,H,VS2,62.1,59.0,6925.1,6.52,6.56,4.06
1.33,Very Good,J,SI1,64.0,53.0,6925.1,6.93,7.01,4.46
1.08,Ideal,F,SI1,62.7,57.0,6925.1,6.52,6.49,4.08
1.51,Premium,J,SI2,59.7,62.0,6925.1,7.46,7.42,4.44
1.06,Very Good,E,SI1,59.6,57.0,6926.400000000001,6.62,6.67,3.96
1.11,Ideal,I,SI1,61.9,55.0,6927.7,6.65,6.66,4.12
1.12,Premium,D,SI2,61.2,60.0,6927.7,6.67,6.63,4.07
1.12,Premium,G,SI1,59.8,58.0,6927.7,6.79,6.76,4.05
1.22,Ideal,I,SI1,62.1,56.0,6927.7,6.83,6.79,4.23
1.22,Very Good,F,SI1,63.5,56.0,6927.7,6.79,6.75,4.3
1.27,Very Good,F,SI2,61.0,61.0,6929.0,6.95,7.01,4.26
1.0,Good,E,SI1,58.2,61.0,6929.0,6.53,6.57,3.81
1.03,Ideal,E,SI1,62.0,57.0,6929.0,6.47,6.44,4.0
1.03,Premium,F,VS2,60.5,59.0,6929.0,6.6,6.52,3.97
1.03,Ideal,E,SI1,62.2,57.0,6929.0,6.48,6.42,4.01
0.9,Very Good,D,VS1,60.3,58.0,6930.3,6.23,6.28,3.77
1.0,Ideal,E,SI1,61.6,57.0,6930.3,6.37,6.45,3.95
1.01,Good,H,VS2,64.4,58.0,6930.3,6.18,6.24,4.0
1.0,Fair,D,SI1,65.5,60.0,6930.3,6.18,6.12,4.03
1.0,Good,D,SI1,58.5,64.0,6930.3,6.53,6.49,3.81
1.19,Ideal,I,SI1,63.7,57.0,6930.3,6.73,6.69,4.28
1.12,Ideal,H,SI2,63.6,56.0,6930.3,6.68,6.54,4.19
1.25,Premium,I,VS1,59.4,60.0,6930.3,7.1,7.03,4.2
1.2,Premium,F,SI2,62.5,59.0,6931.6,6.74,6.68,4.2
1.27,Fair,H,SI2,65.2,54.0,6934.2,6.78,6.71,4.41
1.02,Very Good,H,VS2,60.2,62.0,6935.5,6.46,6.54,3.91
0.9,Ideal,G,VVS2,61.9,56.0,6935.5,6.15,6.22,3.83
0.9,Ideal,E,VS1,61.3,57.0,6935.5,6.2,6.24,3.81
1.11,Very Good,H,SI1,62.5,58.0,6935.5,6.61,6.64,4.14
1.34,Very Good,J,SI2,62.7,56.0,6935.5,7.05,7.08,4.43
1.09,Premium,H,SI1,59.8,60.0,6935.5,6.72,6.66,4.0
1.03,Ideal,G,SI1,62.5,57.0,6938.1,6.4,6.49,4.03
0.7,Ideal,E,VVS1,61.9,56.0,6939.400000000001,5.66,5.69,3.51
0.7,Ideal,E,VVS1,61.8,55.0,6939.400000000001,5.69,5.73,3.53
1.13,Premium,H,SI1,61.4,59.0,6939.400000000001,6.73,6.68,4.12
1.01,Very Good,E,SI1,62.3,56.0,6940.7,6.36,6.42,3.98
1.01,Very Good,E,SI1,61.1,57.0,6940.7,6.43,6.46,3.94
1.14,Ideal,J,VS1,61.6,56.0,6940.7,6.71,6.73,4.14
1.01,Very Good,E,SI2,60.2,60.0,6942.0,6.46,6.5,3.9
1.21,Ideal,J,SI1,61.9,54.0,6943.3,6.85,6.88,4.25
1.0,Very Good,D,SI1,62.3,59.0,6944.6,6.26,6.29,3.91
0.91,Very Good,D,SI1,62.0,59.0,6944.6,6.19,6.16,3.83
1.06,Ideal,G,SI1,62.0,57.0,6944.6,6.54,6.5,4.04
1.05,Ideal,H,SI1,61.9,57.0,6944.6,6.54,6.57,4.06
1.13,Ideal,F,SI1,59.7,57.0,6944.6,6.82,6.79,4.06
1.04,Premium,H,VS2,59.6,58.0,6947.2,6.63,6.55,3.93
1.0,Good,E,SI1,57.2,62.0,6948.5,6.59,6.56,3.76
1.01,Premium,F,SI1,62.3,58.0,6948.5,6.44,6.41,4.0
1.01,Premium,F,SI1,59.8,60.0,6948.5,6.57,6.53,3.92
1.01,Premium,F,SI1,62.2,59.0,6948.5,6.41,6.36,3.97
1.01,Premium,F,SI1,60.6,59.0,6948.5,6.52,6.49,3.94
1.01,Ideal,F,SI1,60.9,55.0,6948.5,6.5,6.48,3.95
1.02,Ideal,G,VS2,62.4,57.0,6949.8,6.47,6.36,4.0
1.21,Very Good,I,SI1,62.8,57.0,6949.8,6.73,6.8,4.25
1.02,Premium,G,VS2,61.5,59.0,6949.8,6.45,6.4,3.95
1.11,Premium,G,VS2,61.0,59.0,6949.8,6.7,6.67,4.08
1.1,Ideal,H,VS2,60.5,57.0,6951.1,6.73,6.7,4.06
1.07,Ideal,G,SI1,61.9,55.0,6951.1,6.57,6.62,4.08
1.05,Ideal,I,VS2,60.2,57.0,6951.1,6.6,6.65,3.99
1.05,Ideal,F,SI2,61.9,56.0,6951.1,6.48,6.5,4.02
1.0,Premium,F,VS2,61.3,59.0,6951.1,6.39,6.35,3.9
1.02,Fair,E,VS2,66.6,57.0,6955.0,6.09,6.14,4.07
1.0,Very Good,E,SI1,59.6,60.0,6956.3,6.43,6.48,3.85
1.0,Very Good,E,SI1,61.2,60.0,6956.3,6.39,6.42,3.92
1.05,Premium,D,SI1,61.6,61.0,6956.3,6.55,6.5,4.02
1.5,Premium,J,SI2,61.3,59.0,6956.3,7.38,7.33,4.51
1.2,Very Good,H,SI2,62.0,58.0,6957.6,6.73,6.79,4.19
1.2,Very Good,I,SI1,63.8,57.0,6957.6,6.64,6.72,4.26
1.05,Ideal,I,VVS2,61.8,54.0,6957.6,6.55,6.57,4.05
1.08,Ideal,G,SI1,61.8,56.0,6957.6,6.58,6.55,4.06
1.08,Ideal,D,SI2,61.6,57.0,6957.6,6.62,6.58,4.07
1.04,Very Good,G,VS2,61.4,63.0,6958.900000000001,6.51,6.55,4.01
1.03,Very Good,G,SI1,59.4,60.0,6958.900000000001,6.61,6.66,3.94
1.21,Premium,I,SI1,61.6,58.0,6958.900000000001,6.89,6.84,4.23
1.06,Ideal,F,SI2,61.8,56.0,6960.2,6.56,6.51,4.04
1.25,Ideal,I,SI2,62.0,57.0,6961.5,6.92,6.85,4.27
1.25,Ideal,G,SI2,61.6,57.0,6961.5,6.98,6.91,4.28
1.02,Premium,H,VS2,62.4,58.0,6962.8,6.39,6.43,4.0
1.03,Ideal,F,SI1,62.8,56.0,6962.8,6.38,6.46,4.03
1.22,Good,J,VS1,58.5,61.0,6962.8,6.94,7.0,4.08
0.9,Good,E,VS1,59.3,56.0,6962.8,6.27,6.32,3.73
1.08,Ideal,I,VS2,61.8,54.2,6964.1,6.57,6.6,4.07
1.34,Ideal,G,SI2,62.0,55.0,6965.400000000001,7.06,7.03,4.37
1.34,Ideal,J,SI2,62.0,56.0,6965.400000000001,7.09,7.03,4.38
1.11,Ideal,H,SI1,61.6,56.0,6965.400000000001,6.65,6.69,4.11
1.09,Ideal,H,SI1,61.9,57.0,6965.400000000001,6.63,6.58,4.09
0.92,Premium,E,VS1,60.9,61.0,6965.400000000001,6.25,6.22,3.8
1.11,Ideal,E,SI2,61.2,55.0,6965.400000000001,6.72,6.68,4.1
1.1,Ideal,E,SI2,61.6,56.0,6966.7,6.66,6.63,4.09
1.12,Very Good,G,SI1,61.1,59.0,6969.3,6.69,6.73,4.1
1.1,Ideal,G,SI2,62.1,58.0,6969.3,6.61,6.63,4.11
1.05,Ideal,G,SI1,61.9,56.0,6969.3,6.51,6.55,4.04
1.05,Ideal,G,SI1,62.3,55.0,6969.3,6.47,6.54,4.05
1.11,Good,J,IF,58.3,62.0,6969.3,6.77,6.84,3.97
1.24,Ideal,J,VS2,61.8,58.0,6969.3,6.88,6.84,4.24
1.25,Very Good,H,SI2,62.7,57.0,6970.6,6.82,6.86,4.29
1.06,Ideal,I,VS2,61.0,57.0,6970.6,6.55,6.59,4.01
1.12,Ideal,H,SI1,62.0,57.0,6971.900000000001,6.69,6.64,4.13
1.12,Premium,H,SI1,62.2,60.0,6971.900000000001,6.65,6.59,4.12
1.12,Premium,H,SI1,61.6,59.0,6971.900000000001,6.67,6.63,4.1
1.26,Ideal,I,SI2,62.0,56.0,6971.900000000001,7.0,6.94,4.32
1.21,Very Good,G,SI2,59.3,59.0,6973.2,6.97,7.0,4.14
1.09,Ideal,D,SI2,62.4,57.0,6973.2,6.55,6.6,4.1
1.03,Premium,H,VS2,63.0,59.0,6973.2,6.47,6.36,4.04
1.03,Ideal,H,VS2,62.3,56.0,6973.2,6.46,6.44,4.02
1.03,Premium,H,VS2,60.9,58.0,6973.2,6.55,6.48,3.97
1.03,Premium,H,VS2,61.6,61.0,6973.2,6.51,6.44,3.99
1.03,Premium,H,VS2,62.6,56.0,6973.2,6.43,6.38,4.01
1.03,Ideal,F,SI1,62.6,57.0,6975.8,6.42,6.46,4.03
1.01,Premium,E,SI1,58.2,59.0,6975.8,6.59,6.54,3.82
1.17,Premium,F,SI1,61.9,60.0,6975.8,6.72,6.66,4.14
1.16,Premium,G,SI1,63.0,58.0,6975.8,6.7,6.66,4.21
1.14,Very Good,H,SI1,62.9,59.0,6977.1,6.62,6.64,4.17
1.07,Very Good,H,SI1,60.4,58.0,6977.1,6.67,6.73,4.05
1.02,Ideal,G,SI1,60.6,57.0,6977.1,6.49,6.52,3.94
1.22,Premium,I,SI1,62.1,59.0,6978.400000000001,6.8,6.86,4.24
